title,minDesc,city,surface,pieces,chambres,salles_de_bains,desc,tagProp,caracterestics,price,longitude,latitude,link
,,Racine àCasablanca,"272
						m²",5 Pièces,3 Chambres,3 Salles de bains,"*Appartement à vendre – 5ème étage, Racine – 272 m²*  Prix : 6 800 000 DHSMagnifique appartement situé au dernier étage d'un immeuble à Racine. Ce bien spacieux de 272 m² se compose de :- *3 chambres*, dont une suite parentale- *Grand triple salon* lumineux- *Terrasse privative de 100 m²* sur le toit- *Domotique avancée* : contrôle des rideaux, du système électrique, de la cuisine et bien plus- *Deux places au parking*Cet appartement moderne et haut de gamme est idéalement situé dans un quartier prisé, offrant confort et sécurité.  Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous contacter.",[],[],6 800 000 DH,-7.648158073425294,33.59245823896285,https://www.mubawab.ma/fr/a/8123789/vente-d-un-bel-appartement-%C3%A0-racine-5-pi%C3%A8ces-confortables
,,Ville Verte àBouskoura,"220
						m²",4 Pièces,3 Chambres,3 Salles de bains,"À vendre – Superbe appartement entièrement rénové à Ville VerteSitué au sein d’une résidence sécurisée et bien entretenue avec piscine, cet appartement de 220 m² a été entièrement refait à neuf avec des prestations de qualité.Composition :	•	Triple salon lumineux avec coin cheminée	•	Grande terrasse avec vue dégagée sur la piscine	•	Salle d’eau invités	•	Cuisine spacieuse avec chambre de personnel et garde-manger	•	Suite parentale avec dressing et salle de bain équipée d’une douche à l’italienne	•	Deux chambres avec balcons et rangements	•	Salle de bain commune aux deux chambresAtouts supplémentaires :	•	Résidence calme et soignée	•	Rooftop accessible pour l’étendage	•	Deux places de parking au garageVISITE SUR RDV",[],[],4 850 000 DH,-7.643909454345703,33.44032295498702,https://www.mubawab.ma/fr/a/8172301/exclusivite-appartement-refait-a-neuf
,,Tanja Balia àTanger,"130
						m²",4 Pièces,3 Chambres,3 Salles de bains,"Affaire à saisir pour cet appartement à vendre. 4 pièces, 3 salle de bains, 130 m². 3 chambres à coucher. Nouveau. Confort absolu avec piscine et climatisation.

Venez découvrir cet appartement à vendre à Tanja Balia. Sécurité assurée. Parking privé.

Contactez-nous si vous êtes intéressé par cet appartement à Tanger.",[],[],Prix à consulter,-5.75470667447955,35.75926659849654,https://www.mubawab.ma/fr/pa/8065936/vend-appartement-%C3%A0-tanja-balia-surface-totale-130-m%C2%B2
,,Roches Noires àCasablanca,"48
						m²",2 Pièces,,,"Affaire à saisir pour cet appartement à vendre. Prix 700 000 DH. 2 pièces, 1 salle de bains, superficie 48 m². 1 chambre à coucher. Nouveau. La résidence dispose de places de Parking et d'un ascenseur.

Venez découvrir cet appartement à vendre à Roches Noires. Résidence avec concierge. Sécurité assurée.

Contactez-nous si vous êtes intéressé par cet appartement à Casablanca.",[],[],730 000 DH,-7.593155143463963,33.585064100396934,https://www.mubawab.ma/fr/pa/7926260/appartement-de-48m%C2%B2-et-11m%C2%B2-de-parking
,,Mesnana àTanger,"107
						m²",3 Pièces,2 Chambres,,"Le projet s’étend sur 18 hectares, à 5 minutes du centre commercial Socco Alto à proximité du Golf Royal, Les Jardins de Mesnana Golf est un projet moyen standing qui assure à ses résidents un meilleur cadre de vie grâce à ses espaces verts et sa proximité avec les commodités essentielles.

Une résidence composée d’immeubles en R+7, R+8 avec ascenseur et parking en sous-sol avec des appartements et duplex de 1 à 4.

En optant pour Les Jardins de Mesnana Golf vous bénéficiez d’un large choix de finitions. La sélection de matériaux nobles et d'équipements de qualité en font un ensemble résidentiel de standing, à savoir :

- Immeubles sécurisés (portes blindées et caméra de surveillance)
- Ascenseur de la marque Schindler ou équivalent
- Cuisine équipée.
- Revêtement du sol premium
- Placards dans toutes les chambres
- Volets électriques
- Chauffe-eau électrique
- Climatisation

Le projet est à proximité de toutes les commodités :

- Mosquée, Clinique, Pharmacie, École et crèche, Poste de police, arrondissement, Marché de proximité, Commerces, Salle de sport, Maison des jeunes, Boulangerie etc.
- Commerces à proximité: Hypermarché Marjane, Centre commercial Socco Alto, Marché de Mesnana
- Loisirs à proximité: Village sportif de Tanger, Club du Golf Royal, Club équestre, Tanja Marina Bay
- Transport : Bus, taxis
- Ecoles: ENCG, Faculté Abdelmalek Essaadi, Crèches, enseignement primaire et secondaire

*Titres fonciers disponibles sur la Tranche 14.

Réservez votre visite dès maintenant en appelant le 05 20 01 00 00.",[],[],1 230 500 DH,-5.858738422393799,35.75359414748105,https://www.mubawab.ma/fr/pa/8044336/un-2-chambres-salon-%C3%A0-vendre-%C3%A0-mesnana-tanger
,,Mesnana àTanger,"81
						m²",3 Pièces,2 Chambres,,"Ne laissez pas passer cet appartement à vendre au prix de 1 007 750 DH.
L'appartement comprend 2 chambres salon.

Venez découvrir cet appartement à vendre en plein quartier de Mesnana.

Programmez dès maintenant votre visite en appelant le 05 20 01 00 00.",[],[],1 007 750 DH,-5.8586955070495605,35.75355932006951,https://www.mubawab.ma/fr/pa/8046395/appartement-de-81m2-%C3%A0-vendre-%C3%A0-mesnana
,,Gauthier àCasablanca,"43
						m²",2 Pièces,,,"Z LUXURY IMMO vous propose à la vente de magnifiques studios de très haut standing, une finition exceptionnelle et un emplacement recherché au cœur du prestigieux quartier Gauthier.**Superficies disponibles** à partir de 43m².Une finition haut standing vous attend :-construction en dalle pleine (post tentions )-cuisine italienne  avec trio (plaque  hotte  four ) -plan de travail de cuisine  crédence en céramique -sanitaire Jacob DeLafond -parquet chevron-marbre 1er choix importé d’Europe -double vitrage -isolation phonique  thermique  (à la pointe de la technologie , avec mousse polyuréthane  tapis acoustique au sol)-double cloison en betton aggloméré  entre tous les appartements-salle de sport pour les résidents au rooftop équipée avec accès direct ascenseur -Amenagement rooftop avec espaces verts, plantes et assises -hall d’entrée très large (normes hôtelières ) avec réception -climatisation centralisée-parking titréeHonoraires : 2,5% TTCNe ratez pas cette occasion ! Pour plus d'informations veuillez me contacter.",[],[],1 200 000 DH,-7.627902030944825,33.57942702596233,https://www.mubawab.ma/fr/a/7873445/vivez-le-luxe-urbain-rooftop-%C3%A0-gauthier
,,Californie àCasablanca,"95
						m²",3 Pièces,2 Chambres,2 Salles de bains,"Découvrez cet appartement à vendre. Prix 1 622 500 DH. 3 pièces, 2 salles de bains privatives, 95 m². 2 chambres à coucher. Nouveau. Type de sol: Marbre. Espaces verts et ascenseur.Cet appartement est en vente à Californie, Casablanca. Grande piscine.",[],[],1 622 500 DH,-7.619337472836068,33.51077050570203,https://www.mubawab.ma/fr/pa/8191767/appartement-%C3%A0-vendre-%C3%A0-californie-surface-de-95-m%C2%B2
,,Mesnana àTanger,"102
						m²",4 Pièces,3 Chambres,2 Salles de bains,"Le projet s’étend sur 18 hectares, à 5 minutes du centre commercial Socco Alto à proximité du Golf Royal, Les Jardins de Mesnana Golf est un projet moyen standing qui assure à ses résidents un meilleur cadre de vie grâce à ses espaces verts et sa proximité avec les commodités essentielles.

Les Jardins de Mesnana Golf se distingue par ses finitions premium, en optant pour une sélection de matériaux nobles et d'équipements de qualité, à savoir :

- Immeubles sécurisés (portes blindées et caméra de surveillance)
- Ascenseur de la marque Schindler ou équivalent
- Cuisine équipée
- Placards dans toutes les chambres
- Volets électriques
- Chauffe-eau électrique
- Climatisation

Le projet est à proximité de toutes les commodités :

- Mosquée, Clinique, Pharmacie, École et crèche, Poste de police, arrondissement, Marché de proximité, Commerces, Salle de sport, Maison des jeunes, Boulangerie etc.
- Commerces à proximité: Hypermarché Marjane, Centre commercial Socco Alto, Marché de Mesnana
- Loisirs à proximité: Village sportif de Tanger, Club du Golf Royal, Club équestre, Tanja Marina Bay
- Transport : Bus, taxis
- Ecoles: ENCG, Faculté Abdelmalek Essaadi, Crèches, enseignement primaire et secondaire.

Les Jardins de Mesnana Golf est une réelle opportunité à saisir, réservez votre visite dès maintenant en appelant le 05 20 01 00 00.",[],[],1 377 000 DH,-5.858781337738038,35.75352449264276,https://www.mubawab.ma/fr/pa/8045645/3-chambres-salon-en-vente-%C3%A0-tanger
,,Californie àCasablanca,"160
						m²",4 Pièces,3 Chambres,3 Salles de bains,"*pas de frais d’agence*
VALDIVIAN M vous propose un appartement 3 chambres salon en double façade très bien exposé.

Détails du bien :

-VENDU MEUBLÉ
-Aucune rénovation à prévoir
-Superficie appartement 153m2
-3 chambres
-1 salle d’eau / 2 salle de bain
-Climatisation centralisé
-Cuisine avec buanderie
-Sol en marbre
-Parquet massif suite parentale
-Pergola
-Cheminée fonctionnel
-Place de garage Titrée avec borne de recharge pour véhicules électriques/hybride
-Résidence fermée sécurisée 24h/24

•Renseignement et visite 7 jours sur 7",[],[],2 750 000 DH,-6.870403289794922,33.958311531468844,https://www.mubawab.ma/fr/a/8159398/dernier-%C3%A9tage-plein-sud-160m2
,,Ennakhil (Palmeraie) àMarrakech,"110
						m²",4 Pièces,3 Chambres,3 Salles de bains,"Achetez votre appartement. Prix 1 620 000 DH. Un grand salon, un séjour, 2 suites parentales plus toilettes invités, une cuisine équipée. l'appartement a été complètement refait à neuf, il est en excellent état.l'appartement se trouve dans une résidence privée sécurisée sur la route de casa coté Palmeraie, Marrakech.",[],[],1 620 000 DH,-7.9561614990234375,31.664194002214312,https://www.mubawab.ma/fr/a/8198718/bel-appartement-%C3%A0-vendre-%C3%A0-ennakhil-palmeraie-3-pi%C3%A8ces-salon-sur-110m%C2%B2
,,Riviera àCasablanca,"64
						m²",3 Pièces,2 Chambres,2 Salles de bains,"My Lynn – Votre Nouvelle Vie Commence Ici

BROKER IMMOBILIER a le plaisir de vous présenter My Lynn, un projet résidentiel haut standing situé au cœur de la zone Riviera.
Des appartements à partir de 64 m², pensés pour allier confort, modernité et qualité de vie.

Des logements conçus pour votre bien-être :

Finitions haut de gamme
Espaces lumineux et bien agencés
Matériaux nobles et durables

Un emplacement idéal :
Situé dans un quartier calme et prisé, My Lynn vous offre un cadre de vie paisible tout en restant proche des commodités essentielles : écoles, commerces, axes routiers et espaces verts.

Que vous cherchiez un pied-à-terre moderne, un investissement locatif ou votre futur chez-vous, My Lynn est le projet qu’il vous faut.

Résidence sécurisée avec prestations de qualité",[],[],Prix à consulter,-7.636313438415527,33.57154299116339,https://www.mubawab.ma/fr/a/8126042/appartements-a-vendre-%C3%A0-partir-de-64-m%C2%B2
,,Les Cretes àMohammedia,"47
						m²",2 Pièces,,,"Découvrez cet appartement à vendre. Prix 728 500 DH. 1 salle de bains, 47 m². 1 Pièces. 1 chambre. 2ème étage. Moins d'un an. Type de sol: Marbre. Confort et sécurité avec service de conciergerie et climatisation.

Idéal si vous souhaitez acheter un appartement à Les Cretes. Dispose d'une terrasse. Résidence avec ascenseur. Spacieux salon européen.

Contactez-nous pour visiter cet appartement à vendre à Mohammedia. Isolation sonore avec double vitrage. Sécurité. Cuisine entièrement équipée.",[],[],728 500 DH,-7.39176950787666,33.69334365243485,https://www.mubawab.ma/fr/pa/7994646/superbe-studio-%C3%A0-vendre-%C3%A0-mohammedia-47-m%C2%B2
,,Nouvelle Ville àFès,"70
						m²",2 Pièces,3 Chambres,2 Salles de bains,Immeuble haut standing surface entre 70 et140 mètre situé sur route immouzer,[],[],Prix à consulter,-4.993092439633418,33.99961226801189,https://www.mubawab.ma/fr/a/8139328/immeuble-haut-standing
,,Dar Bouazza,"121
						m²",3 Pièces,2 Chambres,2 Salles de bains,"Aquarelle Résidences Dar Bouazza, est un projet signé KETTANI Immobilier. Une résidence haut standing fermée et sécurisée, à taille humaine, offrant à ses résidents un cadre de vie exclusif et harmonieux.

Grâce à son emplacement exceptionnel et multifonctionnel, Aquarelle Résidences Dar Bouazza se trouve en plein cœur de Dar Bouazza, face au centre commercial Le Mercato, rapprochant ainsi les résidents de toutes les commodités essentielles à un quotidien confortable.

Conçue en résidences intégrées et privatives avec des immeubles R+2, le projet immobilier promet à ses résidents une expérience résidentielle sans compromis avec ses appartements spacieux, d’une superficie comprise entre 103m2 et 162 m2.

Aquarelle Résidences Dar Bouazza assure un espace de vie complet et intégré où chaque détail a été pensé pour le confort et le bien-être des résidents. De nombreux équipements de loisirs et sportifs y sont proposés: des piscines, un terrain de padel, une salle de sport équipée, une aire de jeux pour enfants, des espaces verts ... et des espaces fonctionnels: garage sous-sol, Box, bornes de recharge, espace de lavage de voiture, ...

Le projet propose des finitions haut de gamme avec l’utilisation de matériaux de qualité, un design contemporain ainsi qu'une isolation thermique et acoustique de pointe, chaque espace est une véritable expression de raffinement et de confort, garantissant un confort optimal.",[],[],2 000 000 DH,-7.821927666664142,33.51208026030474,https://www.mubawab.ma/fr/pa/8058229/vend-appartement-%C3%A0-d-une-superficie-habitable-de-121m%C2%B2
,,Iberie àTanger,"70
						m²",,2 Chambres,2 Salles de bains,"Découvrez notre complexe résidentiel contemporain, parfaitement situé et encore disponible avec 21 appartements. Chaque logement offre des surfaces variées, pensées pour allier confort, accessibilité et valeur patrimoniale. Une opportunité à ne pas manquer !",[],[],13 500 DH,-5.863094329833984,35.77525384929336,https://www.mubawab.ma/fr/a/8195220/des-appaerements-neufs-%C3%A0-vendre-13500dhs-70m%C2%B2
,,Bouskoura Ville àBouskoura,"64
						m²",99 Pièces,3 Chambres,,"Affaire à saisir pour cet appartement à vendre. Prix 250 000 DH. 3 chambres, 1 salle de bains, superficie 64 m². 99 pièces. 3ème étage. Moins d'un an. Vous bénéficierez d'une terrasse et d'un jardin.

Cet appartement est en vente à Bouskoura.",[],[],250 000 DH,-7.669421369217028,33.452633209557675,https://www.mubawab.ma/fr/a/7891610/appartement-%C3%A0-vendre-%C3%A0-bouskoura-99-pi%C3%A8ces-terrasse-et-jardin
,,Hermitage àCasablanca,"70
						m²",3 Pièces,2 Chambres,2 Salles de bains,"Nous mettons en vente des appartements neufs dans un projet très haut standing en cours de réalisation. Idéalement Situé au sein de « hermitage », l'un des quartiers les plus dynamiques de la capitale économique, répondra aux standards les plus exigeants en termes de qualité de vie, d’accessibilité, de performance énergétique et de noblesse des matériaux.Baignés de lumière naturelle grâce à leurs orientations multiples, les  APPARTEMENTS offrent des superficies généreuses, de 70m2 à 103 m². Balcons, terrasses privatives prolongent votre bien-être dans une atmosphère unique.",[],[],1 290 000 DH,-7.636313438415527,33.57154299116339,https://www.mubawab.ma/fr/a/7870610/des-appartements-neufs-%C3%A0-vendre-anouale
,,Route Casablanca àMarrakech,"85
						m²",3 Pièces,2 Chambres,,"Affaire à saisir pour cet appartement à vendre. Prix 114 750 EUR. 2 chambres, 1 salle de bains, surface 85 m². 3 pièces. Nouveau. Décoration traditionnelle avec beau salon marocain. Le bien est également équipé d'une antenne parabolique.Idéal si vous souhaitez acheter un appartement à Route Casablanca. Confort et sécurité avec service de conciergerie et climatisation. Places de stationnement pour votre voiture. L'extérieur se compose d'une belle terrasse.Contactez-nous pour visiter cet appartement à vendre à Marrakech. Confortable salon européen. Isolation sonore avec double vitrage. Cuisine entièrement équipée.",[],[],114 750 EUR,-8.001238256425678,31.669117189233774,https://www.mubawab.ma/fr/pa/8072176/vente-d-un-bel-appartement-%C3%A0-route-casablanca-2-belles-chambres
,,Californie àCasablanca,"143
						m²",4 Pièces,3 Chambres,2 Salles de bains,"Utopia s'étend pour vous offrir de nouvelles disponibilités !

Suite au succès retentissant de la première tranche, nous avons décidé une extension ambitieuse pour répondre à une demande croissante. Cette nouvelle phase vise à offrir davantage des logements modernes et accessibles tout en conservant le caractère unique et la qualité qui ont fait la réputation de la première tranche.  

Imaginez-vous vivre dans un cadre idyllique, un endroit où chaque détail a été pensé pour vous offrir le meilleur de la vie. 
Bienvenue à UTOPIA Extension, une résidence qui transforme vos rêves de confort, de détente et de loisirs en réalité, conçue pour vous offrir un environnement calme et verdoyant, pour enrichir votre quotidien et vous offrir un véritable havre de paix.  

La résidence propose des appartements de 2 à 3 chambres et salon, les superficies varient entre 104m² et 200m².

Les appartements allient matériaux nobles, design raffiné et équipements modernes pour offrir une expérience de vie exceptionnelle. Que ce soit la cuisine équipée, les salles de bain luxueuses, ou les finitions haut de gamme, chaque détail est pensé pour votre confort et votre bien-être au quotidien. 

La résidence est dotée des espaces de détente et de loisirs :
- Piscine semi olympique.
- Salle de sport.
- Salle de prière.
- Espaces verts.
- Allées piétonnes.

UTOPIA Extension est une résidence fermée et sécurisée, offrant à ses résidents une tranquillité d’esprit totale. Des agents de sécurité surveillent les accès 24h/24, et des caméras de vidéosurveillance assurent une protection renforcée pour que vous et vos proches puissiez vivre en toute sérénité.

Située dans l'un des quartiers les plus prisés et dynamiques de la ville de Casablanca, UTOPIA Extension bénéficie d'un emplacement exceptionnel au cœur de quartier Californie, offrant à ses résidents une proximité immédiate avec toutes les commodités nécessaires pour une vie quotidienne facile, pratique et agréable. 

Vivre à UTOPIA, c’est profiter d’un cadre de vie à la fois paisible et parfaitement connecté à l'effervescence de la ville.  
Votre futur cadre de vie vous attend. Ne tardez plus, et venez découvrir ce que ce projet d'exception peut vous offrir !

Réservez votre visite dès maintenant, en appelant le 05 20 01 00 20.",[],[],2 466 000 DH,-7.607078248528145,33.52470949338672,https://www.mubawab.ma/fr/pa/8037231/beau-f4-%C3%A0-vendre-%C3%A0-californie
